id_meeting,id,la_rating,la_rating_orig,la_rating_rounded,date_meeting
1,1444,6,sollte dem konkursverfahren zugefuehrt werden 15,6,30aug1990
2,42,6,sollte dem konkursverfahren zugefuehrt werden.,6,04sep1990
2,1308,2,2,2,04sep1990
2,10574,6,sollte dem konkursverfahren zugefuehrt werden.,6,04sep1990
2,79,5,5,5,04sep1990
2,1060,3,sanierungswuerdig,3,04sep1990
3,6214,1,1,1,06sep1990
3,14046,3.5,3 bis 4,4,06sep1990
3,1246,5,5,5,06sep1990
3,2649,4,4,4,06sep1990
3,2641,2,2,2,06sep1990
3,7419,6,sollte dem konkursverfahren zugeleitet werden,6,06sep1990
3,1539,1,das unternehmen hat keine probleme und wird von uns als nicht konkursgefaehrdet eingestuft.,1,06sep1990
3,729,3,3,3,06sep1990
3,1983,1.5,1 bis 2,2,06sep1990
4,10655,4.5,6 oder 3 mit kooperationspartner,5,11sep1990
4,2546,3,3,3,11sep1990
4,2631,4,4,4,11sep1990
4,523,4,4,4,11sep1990
4,3546,3,3,3,11sep1990
4,1985,4,4,4,11sep1990
4,5633,6,6,6,11sep1990
4,9680,2,2,2,11sep1990
4,5241,4,4,4,11sep1990
4,9894,3,3,3,11sep1990
5,5247,4,4,4,13sep1990
5,5430,5,sanierungsfaehigkeit erscheint zweifelhaft,5,13sep1990
5,5178,6,6,6,13sep1990
5,1793,6,konkursreif,6,13sep1990
5,62,2,2,2,13sep1990
5,13928,3,3,3,13sep1990
5,9824,6,schliessung der gesellschaft beabsichtigt.,6,13sep1990
5,6168,3,3,3,13sep1990
5,10018,6,konkurs oder stille liquidation,6,13sep1990
5,18052,1,1,1,13sep1990
5,765,4,4,4,13sep1990
6,13242,3,3,3,18sep1990
6,2913,3,3,3,18sep1990
6,110,2,2,2,18sep1990
6,9947,4,3 oder 5,4,18sep1990
6,1489,5,5,5,18sep1990
6,5833,2,2,2,18sep1990
7,13199,4,4,4,20sep1990
7,2104,3,3,3,20sep1990
7,4021,4,4,4,20sep1990
7,2714,4,4,4,20sep1990
7,2079,4,4,4,20sep1990
7,505,4,4,4,20sep1990
7,10708,2,2,2,20sep1990
7,9598,4,4,4,20sep1990
7,896,2,2,2,20sep1990
7,11990,6,sollte dem konkursverfahren zugefuehrt werden.,6,20sep1990
8,11498,3,3 (zwei von drei betriebsteilen) konkursverfahren (drittel teil),3,25sep1990
8,5597,3,3,3,25sep1990
8,5034,6,sollte dem konkursverfahren zugeleitet werden,6,25sep1990
8,951,4,4,4,25sep1990
8,1694,3,3,3,25sep1990
8,12706,4,4,4,25sep1990
8,10559,4,4,4,25sep1990
8,730,4.5,4 bis 5,5,25sep1990
8,5264,4,4,4,25sep1990
8,8277,6,sollte dem konkursverfahren zugeleitet werden,6,25sep1990
8,2495,1,1,1,25sep1990
8,739,1,arbeitet rentabel,1,25sep1990
8,8341,6,sollte dem konkursverfahren zugeleitet werden,6,25sep1990
8,5957,2,2,2,25sep1990
8,9677,3,3,3,25sep1990
9,2646,4,4,4,27sep1990
9,5800,6,sollte einem konkursverfahren zugefuehrt werden,6,27sep1990
9,332,2,2,2,27sep1990
9,5173,6,sollte dem konkursverfahren zugeleitet werden,6,27sep1990
9,12281,6,sollte einer liquidation zugefuehrt werden,6,27sep1990
9,1634,2,2,2,27sep1990
9,17620,4,4,4,27sep1990
9,9822,6,sollte der liquidation zugefuerhrt werden,6,27sep1990
9,5725,4,4,4,27sep1990
9,1998,4,4,4,27sep1990
9,2333,1,1,1,27sep1990
9,9829,3,3,3,27sep1990
9,1631,5,5,5,27sep1990
10,1357,5,sanierungsfaehigkeit zweifelhaft,5,02oct1990
10,3,4,4,4,02oct1990
10,732,3,3,3,02oct1990
10,513,4,4,4,02oct1990
10,1990,4,4,4,02oct1990
10,9673,3,3,3,02oct1990
10,9823,6,nicht sanierungswuerdig,6,02oct1990
10,15639,3,3,3,02oct1990
10,39,3,sanierungsfaehigkeit scheint gegeben,3,02oct1990
10,940,3,3,3,02oct1990
10,6013,4,4,4,02oct1990
10,9520,6,6,6,02oct1990
11,5097,3,3,3,06oct1990
11,1032,4,4,4,06oct1990
11,10720,4.5,note 4-5,5,06oct1990
11,64,5,sanierungsfaehigkeit zweifelhaft,5,06oct1990
11,2608,3,3,3,06oct1990
12,7225,1,1,1,09oct1990
12,5254,4,4,4,09oct1990
12,7127,5,5,5,09oct1990
12,13115,5,5,5,09oct1990
12,10795,3,3,3,09oct1990
12,7878,4,4,4,09oct1990
12,725,3,3,3,09oct1990
13,2642,3,3,3,11oct1990
13,5331,6,6,6,11oct1990
13,17250,2,2,2,11oct1990
13,452,2,2,2,11oct1990
13,95114,1,1,1,11oct1990
13,1635,2,2,2,11oct1990
14,741,3,3,3,16oct1990
14,1935,4,4,4,16oct1990
14,2348,4,4,4,16oct1990
14,5624,4,4,4,16oct1990
14,7412,4.5,4 bis 5,5,16oct1990
14,125,2,2,2,16oct1990
14,8638,6,sollte dem konkursverfahren zugeleitet werden,6,16oct1990
14,13155,3,3,3,16oct1990
14,4033,3,3,3,16oct1990
14,1963,4,4,4,16oct1990
14,1771,2,2,2,16oct1990
14,195,4,4,4,16oct1990
14,11053,4,4,4,16oct1990
14,2289,2,2,2,16oct1990
15,55,3,sanierungsfaehig,3,18oct1990
15,18729,2,2,2,18oct1990
15,8086,1,1,1,18oct1990
15,3355,4,4,4,18oct1990
15,3347,2,2,2,18oct1990
15,17144,5,5,5,18oct1990
15,1950,3,3,3,18oct1990
15,13178,4,4,4,18oct1990
15,18024,6,sollte dem konkursverfahren zugefuehrt werden,6,18oct1990
16,5996,4,4,4,23oct1990
16,9893,6,6,6,23oct1990
16,9845,1,1,1,23oct1990
16,3339,2,2,2,23oct1990
16,9555,5,5,5,23oct1990
16,5948,4,4,4,23oct1990
16,5169,2,2,2,23oct1990
16,798,2,2,2,23oct1990
16,2866,4,4,4,23oct1990
16,2578,6,stille liquidation,6,23oct1990
16,2356,2,2,2,23oct1990
16,9502,6,nicht sanierungswuerdig,6,23oct1990
17,1293,2,2,2,25oct1990
17,2616,2,2,2,25oct1990
17,738,2,2,2,25oct1990
17,103,2,2,2,25oct1990
17,803,2,2,2,25oct1990
17,1864,6,nicht sanierungswuerdig,6,25oct1990
17,9837,4,4,4,25oct1990
17,1242,3,3,3,25oct1990
17,1294,3,3,3,25oct1990
17,2328,1,1,1,25oct1990
17,14764,3,3,3,25oct1990
18,13226,5,sanierungsfaehigkeit zweifelhaft,5,30oct1990
18,215,5,sanierungsfaehigkeit zweifelhaft,5,30oct1990
18,9537,6,nicht sanierungswuerdig,6,30oct1990
18,8933,1,1,1,30oct1990
18,8825,5,sanierungsfaehigkeit zweifelhaft,5,30oct1990
18,111,4,4,4,30oct1990
19,1871,4,in teilbereichen sanierungswuerdig,4,01nov1990
19,1606,6,nicht sanierungswuerdig,6,01nov1990
19,4086,4,nur in teilbereichen sanierungswuerdig,4,01nov1990
